Unnamed: 0,id,title,subtitle,sq_mt_built,sq_mt_useful,n_rooms,n_bathrooms,n_floors,sq_mt_allotment,latitude,longitude,raw_address,is_exact_address_hidden,street_name,street_number,portal,floor,is_floor_under,door,neighborhood_id,operation,rent_price,rent_price_by_area,is_rent_price_known,buy_price,buy_price_by_area,is_buy_price_known,house_type_id,is_renewal_needed,is_new_development,built_year,has_central_heating,has_individual_heating,are_pets_allowed,has_ac,has_fitted_wardrobes,has_lift,is_exterior,has_garden,has_pool,has_terrace,has_balcony,has_storage_room,is_furnished,is_kitchen_equipped,is_accessible,has_green_zones,energy_certificate,has_parking,has_private_parking,has_public_parking,is_parking_included_in_price,parking_price,is_orientation_north,is_orientation_west,is_orientation_south,is_orientation_east
6388,15354,Piso en venta en SANTA AUREA,"Puerta del Ángel, Madrid",50.0,45.0,3,1.0,,,,,SANTA AUREA,True,SANTA AUREA,,,4.0,False,,Neighborhood 70: Puerta del Ángel (2443.62 €/m2) - District 10: Latina,sale,539,,False,100000,2000,True,HouseType 1: Pisos,False,False,1965.0,False,True,,,True,False,True,,,True,,,,,,,E,False,,,,,False,True,False,False
6389,15353,"Piso en venta en paseo Marqués de Monistrol, 7","Puerta del Ángel, Madrid",260.0,,4,3.0,,,,,"Paseo Marqués de Monistrol, 7",False,Paseo Marqués de Monistrol,7,,8.0,False,,Neighborhood 70: Puerta del Ángel (2443.62 €/m2) - District 10: Latina,sale,2479,,False,899000,3458,True,HouseType 1: Pisos,True,False,1960.0,True,False,,,True,True,True,,,,,True,,,,,en trámite,True,,,True,0.0,,,,
6395,15347,Piso en venta en Puerta del Ángel,"Latina, Madrid",47.0,,2,1.0,,,,,,True,,,,4.0,False,,Neighborhood 70: Puerta del Ángel (2443.62 €/m2) - District 10: Latina,sale,901,,False,195000,4149,True,HouseType 1: Pisos,True,False,1930.0,,,,,,True,True,,,,True,,,,,,en trámite,False,,,,,False,False,True,False
6401,15341,Piso en venta en San Eusebio,"Lucero, Madrid",60.0,,2,1.0,,,,,San Eusebio,True,San Eusebio,,,4.0,False,,Neighborhood 69: Lucero (2363.25 €/m2) - District 10: Latina,sale,868,,False,185000,3083,True,HouseType 1: Pisos,False,False,1960.0,False,True,,,,False,True,,,,,True,,,,,en trámite,False,,,,,,,,
6407,15335,"Piso en venta en calle Faustino Cordón Bonet, 4 -22","Águilas, Madrid",70.0,,2,1.0,,,,,"Calle Faustino Cordón Bonet, 4 -22",False,Calle Faustino Cordón Bonet,4 -22,,2.0,False,,Neighborhood 66: Águilas (2110.34 €/m2) - District 10: Latina,sale,917,,False,200000,2857,True,HouseType 1: Pisos,False,False,2005.0,False,True,,,True,True,True,,,,True,True,,,,,inmueble exento,True,,,True,0.0,,,,
6411,15331,Piso en venta en castuera,"Lucero, Madrid",53.0,,2,1.0,,,,,castuera,True,castuera,,,2.0,False,,Neighborhood 69: Lucero (2363.25 €/m2) - District 10: Latina,sale,662,,False,129000,2434,True,HouseType 1: Pisos,False,False,1965.0,False,True,,True,,False,True,,,,True,,,,,,en trámite,False,,,,,False,False,False,True
6415,15327,Piso en venta en calle Castuera,"Lucero, Madrid",54.0,43.0,2,1.0,,,,,Calle Castuera,True,Calle Castuera,,,2.0,False,,Neighborhood 69: Lucero (2363.25 €/m2) - District 10: Latina,sale,662,,False,129000,2389,True,HouseType 1: Pisos,False,False,1966.0,False,True,,True,,False,True,,,True,,,,,,,en trámite,False,,,,,False,True,False,True
6416,15326,Piso en venta en paseo de los JESUITAS,"Puerta del Ángel, Madrid",75.0,,3,1.0,,,,,Paseo de los JESUITAS,True,Paseo de los JESUITAS,,,1.0,False,,Neighborhood 70: Puerta del Ángel (2443.62 €/m2) - District 10: Latina,sale,823,,False,172000,2293,True,HouseType 1: Pisos,False,False,1965.0,False,True,,,,False,True,,,,,True,,,,,en trámite,False,,,,,False,False,False,True
6419,15323,Piso en venta en calle de León V de Armenia,"Aluche, Madrid",53.0,50.0,2,1.0,,,,,Calle de León V de Armenia,True,Calle de León V de Armenia,,,3.0,False,,Neighborhood 67: Aluche (2190.48 €/m2) - District 10: Latina,sale,613,,False,117000,2208,True,HouseType 1: Pisos,False,False,1963.0,False,True,,,,True,True,,,,,,,,,,en trámite,False,,,,,,,,
6422,15320,Piso en venta en calle ANTONIO ZAMORA,"Puerta del Ángel, Madrid",104.0,95.0,3,3.0,,,,,Calle ANTONIO ZAMORA,True,Calle ANTONIO ZAMORA,,,1.0,False,,Neighborhood 70: Puerta del Ángel (2443.62 €/m2) - District 10: Latina,sale,1323,,False,350000,3365,True,HouseType 1: Pisos,False,False,1999.0,False,True,,True,True,True,True,,,,,,,,,,en trámite,False,,,,,False,True,False,False
6423,15319,Piso en venta en calle de Seseña,"Aluche, Madrid",120.0,96.0,4,2.0,,,,,Calle de Seseña,True,Calle de Seseña,,,8.0,False,,Neighborhood 67: Aluche (2190.48 €/m2) - District 10: Latina,sale,1174,,False,290000,2417,True,HouseType 1: Pisos,False,False,1974.0,True,False,,,True,True,True,,,True,,True,,,,True,en trámite,True,,,True,0.0,True,False,False,False
6424,15318,Piso en venta en paseo Olivos,"Puerta del Ángel, Madrid",70.0,65.0,2,1.0,,,,,Paseo Olivos,True,Paseo Olivos,,,2.0,False,,Neighborhood 70: Puerta del Ángel (2443.62 €/m2) - District 10: Latina,sale,744,,False,150000,2143,True,HouseType 1: Pisos,False,False,1957.0,False,True,,True,True,False,True,,,,,,,,,,D,False,,,,,,,,
